A,B,C,D,E,F
13,33.53,39,736.1,44.8119,17.2016
34,75.02,7,160.28,-55.0578,-14.7527
19,45.27,28,538.07,-50.7532,-23.6666
9,25.45,19,376.56,62.9726,34.9063
8,23.52,27,520.42,1.69048,3.62523
1,9.27,6,142.17,1.40842,2.64884
39,85.26,24,466.55,11.1262,4.49528
29,65.48,29,556.06,8.52877,9.81122
29,65.2,14,286.17,-43.7732,-38.0514
26,59.47,1,52.3,-81.8471,-18.8959
16,39.06,0,34.31,53.6936,31
33,73.38,24,466.35,-55.7263,-24.8109
37,81.37,20,394.04,-77.5486,-15.0739
13,33.19,9,196.04,-52.0087,-40.6336
5,17.18,6,142.16,-59.0991,-44.5343
9,25.19,23,448.46,-69.7101,-58.4936
16,39.19,18,358.09,33.8095,72.5046
1,9.35,30,574.31,-22.5772,-58.8155
20,47.47,6,142.38,18.3558,45.432
16,39.23,14,286.19,40.7839,19.0178
36,79.23,35,663.97,-32.5937,-5.16233
5,17.2,38,718.53,-23.2871,-5.80612
26,59.26,29,556.05,34.6127,42.743
12,31.52,28,538.28,27.1936,83.6929
4,15.02,35,664.27,32.5909,80.665
2,11.01,39,736.34,-54.2751,-33.9148
33,73.3,22,430.49,-10.9581,-0.958712
3,13.12,0,34.41,-48.0001,-83.1384
2,11.25,3,88.07,-47.1629,-75.4762
39,85.12,28,538.03,31.0308,20.1516
39,84.97,24,466.16,26.2829,12.2559
18,43,13,268.09,30.211,36.0041
3,13.39,2,70.52,-17.5807,-51.058
22,51.17,7,160.34,7.31354,6.81998
1,9.18,26,501.98,-12.3637,-4.01722
21,49.16,23,448.02,15.8931,8.45048
17,41.05,28,538.2,55.631,22.4764
38,83.32,29,556.17,80.2081,17.0487
39,85.34,27,520.15,31.0606,13.829
16,39.24,22,430.31,-15.8628,-35.6283
38,83.19,20,394.1,-25.3571,-54.3784
38,83.14,18,358.35,-38.0252,-56.3745
25,57.47,38,718.03,22.7866,36.466
25,57.31,10,214.09,-55.3802,-68.3888
13,33.37,24,466.32,-22.5,-38.9711
9,25.02,39,736.06,-1.17557,-1.61803
0,7.14,9,196.07,6.29156,3.0686
13,33.5,24,466.01,-75.4763,-47.1628
17,41.14,13,268.36,-17.8542,-6.49838
35,77.32,37,700.36,-9.80351,-15.0961
16,39.08,17,340.53,-22.6441,-14.7052
15,37.42,37,700.21,-16.9963,-28.2865
26,59.3,29,556.47,50.328,26.7599
9,25.03,30,574.11,-59.1008,-46.1746
39,85.37,38,718.25,91.1047,12.8039
1,9.45,36,682.47,25.0077,25.8962
38,83.09,6,142.44,-44.6026,-80.465
12,31.03,19,376.1,-21.0508,-68.8539
26,59.34,6,142.05,16.4275,26.2895
32,71.19,3,88.19,2.78155,1.12382
15,37.21,28,538.01,30.8197,80.2879
25,57.14,28,538.41,20.3532,12.7181
10,27.05,23,447.98,5.47025,12.8871
21,49.17,1,52.44,31.4078,26.3543
10,27.5,39,736.22,-64.5155,-7.9215
33,73.2,6,142.3,-59.7793,-71.2421
17,41.21,2,70.43,-10.064,-6.53566
35,77.07,7,160.55,28.5189,42.2809
30,67.29,13,268.21,6.80901,17.738
29,64.98,7,160.05,-46.5001,-80.5403
3,13.29,38,718.46,-14.6722,-3.11867
26,59.31,21,412.05,0,0
27,61.32,0,34.43,-32.1476,-11.0693
19,45.45,28,538.09,9.82983,6.88291
27,61.1,21,412.23,8.03008,11.4681
13,33.54,12,250.08,41.7217,40.2902
8,23.22,24,466.19,62.5732,37.5978
12,31.49,4,106.21,-1.93185,-0.517638
20,47.46,30,574.06,77.9866,25.3394
29,65.18,28,538.47,75.5481,23.0973
31,69.1,19,376.32,-22.0921,-9.37754
5,17.22,3,88.26,-30.3767,-12.8941
17,41.28,33,628.38,-72.2896,-10.1596
11,29.45,33,627.99,-27.6399,-32.9399
17,41.23,8,178.22,50.5339,45.5009
28,63.28,20,394.16,-0.615662,-0.78801
17,41.41,14,286.49,57.3916,30.5156
21,49.19,16,322.23,50.4327,39.4023
9,25.24,11,232.31,-13.435,-13.435
9,25.55,18,358.46,-62.4242,-56.2069
37,81.33,10,214.46,-59.3805,-26.4379
18,43.5,13,268.41,3.53554,3.53553
9,25.55,33,628.42,-17.2642,-16.6718
21,49.23,36,682.21,10.064,6.53566
5,16.99,8,178,-91.7153,-31.5801
2,11.49,20,394.3,-8.72659,-15.7431
2,11.09,21,412.05,-59.5456,-38.6693
18,43.15,29,556.48,-3.75877,-1.36808
32,71.34,23,448.06,-4.40525,-5.44002
19,45.55,10,214.24,62.8983,69.8556
12,31.53,38,718.41,-9.01068,-6.30934
0,7.29,4,106.1,-37.8245,-29.5517
12,31.47,24,466.3,-24.8639,-7.60166
18,43.43,21,412.31,-1.79184,-4.6679
2,11.11,13,268.29,-44.9948,-9.56393
17,41.23,35,664.32,35,60.6218
7,21.4,9,196.41,-74.4296,-54.0762
29,65.17,11,232.5,-44.5999,-83.88
37,81.33,24,466.15,-5.59194,-8.29037
13,33.09,18,358.55,41.3926,63.7389
17,41.02,18,358.09,-41.7193,-41.7193
17,41.37,15,304.35,8.60085,22.4059
39,85.31,36,682.2,-33.223,-51.1589
0,7.34,10,214.33,-40.7839,-19.0178
8,23.05,24,466.15,-42.2839,-45.3439
10,27.32,17,340.37,7.79496,1.79961
32,71.02,19,376.05,41.3465,15.0489
24,55.12,9,195.97,-40.373,-11.5768
14,35.08,38,718.01,-79.7694,-14.0655
36,79.04,26,501.97,-32.4474,-54.0015
12,31.04,0,33.99,38.5002,26.9581
0,7.17,17,340.08,29.9686,74.1747
19,45.41,9,196.05,21.1603,29.1246
21,49.48,22,430.28,-20.7088,-48.7867
17,41.41,21,412.12,29.8454,20.1309
11,28.98,26,502.2,-31.5802,-91.7153
23,53.2,26,502.38,-11.9666,-5.0795
34,75.43,2,70.12,-86.5275,-36.7287
15,37.37,1,52.14,22.357,45.8385
31,68.97,13,268.3,-26.4379,-59.3804
32,71.44,2,70.35,-38.3022,-32.1394
24,55.03,1,52.19,-32.1542,-7.42338
0,7.3,26,502.31,14.9361,24.8578
=======
4,45.44,12,222.17,-33.9411,-33.9411
7,65.99,17,297.2,-30.8197,-80.2879
9,80.04,31,507.38,-25.0831,-87.4748
28,213.56,29,477.48,22.0262,27.2001
15,122.01,3,87.06,-28.0558,-57.5228
14,115.09,6,132.23,9.94845,6.71031
6,59.16,21,357.12,-41.7233,-16.8573
11,94.13,14,252.32,-29.7446,-77.4872
14,115.14,15,267,-6.88292,-9.82982
11,94.2,34,552.04,75.7356,38.5892
26,199.08,14,252.3,23.7944,73.2313
12,101.13,38,612.42,2.59808,1.5
12,101.44,22,372.36,-15.456,-34.7147
3,38.25,29,477.55,30.9316,29.8703
0,17.31,5,117.24,-48.33,-33.841
9,79.97,13,237.53,-6.69413,-2.0466
15,122.34,38,612.5,41.9659,33.9833
11,94.15,1,57.02,-14.7069,-40.4068
16,129.09,3,87.34,-65.3506,-25.0857
27,206.4,20,342.49,-9.87688,-1.56434
14,115.08,26,432.04,-22.9269,-33.9905
1,24.11,8,162.37,-7.87271,-9.05651
6,59.48,32,522.36,76.669,57.7742
14,115.09,14,252.34,57.4854,23.2256
3,38.46,12,222.12,69.8103,21.3431
21,164.16,25,417.24,-72.0082,-60.422
38,283.04,39,627.55,18.4356,4.59651
24,185.14,10,192.26,46.9656,30.4998
11,94.47,11,207.14,-0.984808,-0.173648
6,59.51,34,552.55,-75.6831,-18.8699
32,241.2,18,312.35,-73.2069,-63.6377
15,122.3,23,387.31,3.93923,0.694592
6,59.25,4,102.25,-90.5015,-9.51208
7,66.37,11,207.07,89.1241,12.5256
15,122.33,37,596.98,-3.5967,-3.47329
0,17.44,15,267.55,63.0747,44.1654
34,255.09,35,567.46,-35.8549,-49.35
16,129.42,20,341.98,-39.5637,-38.2062
22,171.49,2,72.02,50.4679,54.1201
8,73.06,20,342.15,-68.4703,-14.5538
17,136.27,35,567.41,10.3008,17.1433
34,255.03,37,597.07,15.5899,3.59921
1,24.09,25,416.98,-33.8074,-9.05866
3,38.36,35,567.14,-9.64735,-33.6441
21,164.22,39,627.18,60.6763,44.0839
29,220.22,4,102.33,65.2408,22.4642
20,157.13,31,507.06,-32.9901,-8.22534
37,276.44,23,387.39,26.7407,54.8264
13,108.53,8,162.37,-58.0237,-33.5
9,80.11,3,87.25,19.7466,18.4139
22,171.33,3,87.43,-28,-48.4974
22,171.22,1,57.1,3.69397,4.72806
24,185.01,6,132.25,95.089,23.7083
17,136.2,35,567.34,22.4105,5.17387
35,262.3,34,552.55,29.4032,14.9817
16,129.12,38,612.09,-6.89365,-1.21554
17,136.13,12,222.15,-96.4626,-22.2701
37,276.03,14,252,-64.0859,-37
3,38.32,8,162.27,-37.303,-30.2074
11,94.44,9,177.22,16.2572,4.97031
7,66.31,10,192.55,26.6776,73.296
33,248.12,11,207.22,22.2314,61.08
35,262.39,23,387.39,-21.0115,-9.35494
7,65.97,4,102.32,24.2669,79.3733
19,150.11,16,281.97,63.636,75.8383
3,38.56,11,207.42,41.0024,39.5955
12,101.19,16,282.21,-36.8506,-17.9732
21,164.03,15,267.41,27.7275,3.89684
5,52.12,13,237.26,-18.2503,-22.5372
9,80.19,22,372.34,-32.9672,-16.7976
23,178.35,21,357.11,-3.53554,-3.53553
24,185.04,24,402.37,15.39,17.0923
14,115.13,1,57.26,-72.5046,-33.8094
2,31.42,25,417.05,-33.1286,-7.64833
36,269.13,3,87.36,-43.2637,-18.3643
33,248.25,28,462.31,-76.2506,-10.7163
16,129.04,22,372.17,74.7163,64.9498
35,262.42,2,72.33,18.8112,51.6831
6,59.26,32,522.41,44.0409,21.4802
32,241.35,39,627.52,-11.1094,-28.941
5,52.39,33,537.1,6.85734,4.1203
36,269.21,15,267.28,10.497,12.0753
37,276.28,12,222.48,-61.9075,-38.6841
38,283.03,28,462.4,-9.65926,-2.58819
34,254.99,28,462.3,-9.27054,-28.5317
29,220.32,39,627.19,29.4929,28.481
30,227.26,23,387.02,0,0
12,101.26,2,72.41,92.4905,9.72114
23,178.08,7,147.4,32.4395,66.5107
13,108.17,4,102.38,50.1125,17.2551
18,143.52,21,357.06,16.7907,2.65938
28,213.17,4,102.4,34.9716,28.3194
14,115.46,34,552.13,-14.5238,-44.6996
38,283.25,10,192.14,10.3923,6
7,66.02,25,417.48,18.8959,1.98604
37,276.06,26,432.07,36.648,13.3388
5,52.56,35,567.38,18.1243,14.1602
25,192.46,2,72.08,20.8836,40.9863
38,283.13,36,582.38,-49.8469,-23.244
26,199.29,18,312.2,-3.07831,-3.94005
14,115.21,26,432.49,12.6758,23.8396
8,73.09,37,597.52,39.7587,61.2229
8,73.27,1,57.48,-60.3349,-77.225
19,150.29,35,567.44,52.005,77.1005
28,213.28,5,117.23,-43.2568,-12.4037
15,121.98,17,297.18,20.2058,16.3623
39,290.23,28,462.53,-37.0861,-91.7912
20,157.47,24,402.18,-28.2853,-37.5358
9,80.09,2,72.53,8.30181,7.21664
37,276.48,39,627.52,22.4643,65.2408
16,129.21,28,462.02,35.4761,13.618
10,87.14,32,522.35,-50.3424,-80.5645
32,241.42,35,567.05,5.26271,17.2135
26,199.56,32,522.37,-48.3014,-41.9878
8,73.02,27,447.25,-78.2518,-16.6329
14,115.45,13,237.11,-82.6685,-23.7048
20,157.41,0,42.41,-63.9105,-57.5452
38,283.15,14,252.02,9.7398,24.1068
34,255.01,12,222.15,39.118,51.9113
34,255.3,34,551.99,28.8625,15.9987
11,94.45,35,567.01,-37.7,-77.2963
8,73.04,25,417.45,22.357,45.8385
6,59.18,30,492.09,-45.0874,-81.3396
25,192.3,13,237.15,-80.6614,-37.613
38,283.55,15,267.09,-38.8118,-9.67687
39,290.4,9,177.51,10.0685,16.1129
35,262.24,2,72.37,-3.78207,-1.30227
11,94.51,15,267.38,68.6827,51.7561
30,227.41,7,147.4,17.0896,59.5982
5,52.37,17,297.17,-68.5159,-30.5052
9,80.21,4,102.47,55.1608,43.0963
34,255.02,11,207.53,-41.7227,-10.4026
22,170.97,25,417.55,77.9866,25.3394
12,101.49,7,147.29,-14.6088,-50.9469
31,234.09,2,72.17,3.70874,1.49843
21,164.11,3,87.22,-37.4713,-41.6161
28,213.47,10,192.48,-29.4929,-28.481
10,87.18,39,627.44,73.6206,53.4884
31,234.33,25,417.15,-51.3598,-8.13459
0,17.28,28,461.99,-36.5645,-58.5153
29,220.41,39,627.01,-34.435,-18.3094
29,220.18,26,432.28,12.8025,2.25742
10,87.32,38,612.06,-74.3763,-19.9291
23,178.23,26,432.37,-15.706,-3.05294
17,136.01,17,297.42,-60.4109,-13.947
10,87.16,4,102.46,-10.9274,-13.0227
5,52.09,18,312.4,-25.7024,-26.6156
20,157.22,39,627.55,31.1781,81.2215
0,17.19,20,342.15,33.6867,87.7565
4,45.28,21,356.98,-39.8918,-81.7902
21,164.08,39,627.14,35.8594,19.8772
2,31.15,19,327.38,-38.7075,-44.5278
24,185.38,20,342.52,3.03202,10.5739
29,220.49,1,57.46,25.4415,15.8976
26,199.24,39,627.16,79.7551,37.1904
10,87.39,3,86.98,30.3087,24.5435
36,269.11,34,552.52,53.5626,68.5569
9,80.4,8,162.18,37.2959,11.4025
20,157.45,24,402.1,-43.6329,-78.7157
1,24.25,33,537.29,-72.1012,-11.4197
24,185.06,8,162.24,-24.0421,-16.2166
4,45.56,33,537.35,44.4326,11.9057
18,143.04,16,282.15,23.5995,64.8388
10,86.98,3,87.31,43.5001,75.3442
13,108.45,33,537.55,-6.38909,-4.81452
4,45.33,2,72.09,-3.83022,-3.21394
32,241.16,4,102.54,69.7336,6.1009
30,227.25,17,297.03,48.2694,45.0119
1,24.06,32,522.53,-16.495,-4.11267
2,31.05,7,147.44,-11.6843,-5.69882
0,17.48,39,627.31,-73.4681,-40.724
19,150.17,26,432.32,-32.4525,-28.2105
5,52.16,16,282.11,-7.72558,-12.8575
33,248.55,23,387.42,-28.4942,-58.4216
4,45.26,27,447,22.6556,27.9772
6,59.45,38,612.42,16.6036,14.4333
19,150.5,6,132.02,-27.7128,-16
33,248.42,15,267.26,32.6784,50.3202
16,129.22,11,207.36,-28.6525,-93.7178
18,143.03,27,447.15,-97.496,-17.1912
24,185.04,4,102.51,-14.0339,-45.9026
20,157,4,102.15,7.18772,5.41633
34,255.39,10,192.38,35.5,76.1298
13,107.97,27,447.01,88.2969,22.0149
14,115.19,27,447.18,43.8812,40.9199
37,276.21,27,447.1,-18.8747,-9.20579
23,178.08,6,132.04,-10.2606,-28.1908
12,101.21,10,192.11,-13.9995,-40.6573
24,185.47,18,312.28,39.3816,54.2041
32,241.38,11,207.56,2.64884,1.40841
39,290.49,20,342.15,54.2418,80.4166
9,80.29,22,372.12,35.9473,84.6864
3,38.13,28,462.42,-46.9846,-17.101
31,234.03,28,462.38,91.1502,33.1759
10,87.38,16,282.51,57.6757,16.5382
9,80.16,35,567.46,-1.96818,-2.26413
0,17.15,37,597.32,37.2616,76.3975
19,149.97,25,417.45,-34.4683,-6.07768
5,52.25,21,357.42,-10.6252,-2.84701
20,157.09,31,507.46,-77.9866,-25.3394
>>>>>>> 374122c17031cb6f8013e53a912fb4e991cf5e5e
