A,B,C,D,E,F
35,109.37,15,194.46,-25.6799,-4.06729
9,5.07,28,389.37,-20.7956,-2.92263
39,125.99,25,344.17,3.01884,2.62423
21,53.54,18,239.23,-23.9641,-36.9015
20,49.32,0,-30.44,7.42391,17.4896
16,33.32,12,149.48,41.0775,15.7682
18,41.22,8,89.03,-91.9459,-19.5437
11,13.54,22,299.06,-61.8425,-12.021
5,-10.93,15,194.01,-50.0154,-51.7924
16,33.06,38,539.13,-50.6672,-11.6974
8,1.14,25,344.49,13.8932,14.3868
10,9.55,27,374.36,29.1564,22.7795
26,73.25,22,298.97,-52.1955,-74.5428
6,-6.48,22,299.18,73.6206,53.4884
4,-14.96,12,149.2,-32.8215,-77.3224
33,101.53,29,404.55,60.6979,65.0904
19,45.56,0,-30.45,-66.8831,-60.2217
31,93.54,38,539.31,-28.7427,-11.6128
26,73.33,14,179.17,9.91861,27.2511
3,-18.57,5,44.12,-39.4787,-43.8455
20,49.51,21,284.18,-11.3137,-11.3137
23,61.52,2,-0.67,-82.2422,-25.1439
25,69.34,1,-16,-39.5956,-41.0023
23,61.18,19,254.26,-77.7032,-6.79814
35,109.22,26,359.29,54.6641,75.2385
37,117.02,5,44.35,-13.5841,-3.3869
21,53.19,17,224.52,21.7272,53.7766
27,77,12,148.98,19.2086,55.7856
4,-14.89,29,404,-96.056,-13.4998
35,109.07,21,284.31,26.4315,32.6401
33,101.08,11,134.36,64.7406,62.5192
0,-30.92,31,434.26,25.7229,38.1357
32,97.02,37,524.22,17.2517,33.8582
13,21.39,2,-1.01,17.614,54.2102
38,121.3,28,389.16,-12.9031,-1.5843
25,69.09,14,179.53,8.30181,7.21664
37,117.21,7,74.18,-23.3827,-13.5
34,105.03,22,299.48,34.7877,25.2747
11,13.53,23,314.1,6.94659,7.19339
11,13.45,6,59.08,-8.6987,-9.66088
33,101.01,5,44.36,-6.6323,-4.47354
35,109.47,5,43.99,4.9939,9.80107
19,45.42,24,329.19,40.5572,55.8221
35,109.17,35,494.15,5.03202,3.26783
31,93.26,6,59.34,-37.3432,-14.3347
10,9.22,22,299.45,16.0697,19.1511
29,85.17,37,524.51,-22.6577,-10.5654
32,97.43,37,524.06,-58.8976,-11.4485
0,-30.48,19,254.53,-26.5755,-81.7908
14,25.14,26,359.49,50.6278,21.4902
10,9.54,3,14.3,79.4578,55.6369
20,49.43,33,464.34,26.8375,17.4284
37,117.54,26,359.11,72.8282,65.5748
33,101.55,22,299.29,44.821,10.3477
9,5.09,26,359.04,-63.5675,-70.5987
25,69.12,10,119.37,-18.4101,-7.81462
21,53.17,26,359.51,78.4747,57.0151
34,105.23,28,389.17,74.5609,31.6492
39,125.43,8,89.11,37.4227,6.59863
2,-22.84,27,374.37,-33.6867,-87.7565
33,101,32,449.53,56.1334,28.6014
4,-14.87,5,43.99,-61.2234,-33.9366
13,21.13,21,284.3,-11.1094,-28.941
3,-18.55,0,-30.71,61.7641,5.40365
7,-2.86,29,404.03,-1.84699,-2.36403
11,13.4,2,-1,-7.18244,-19.7335
27,77.12,14,179.29,-27.0222,-78.478
27,77,13,164.17,-11.9106,-1.46243
34,105.29,22,299.31,-2,-3.4641
4,-14.6,22,299.02,-15.3713,-11.1679
4,-14.91,34,479.23,65.9821,11.6344
3,-18.88,20,269.06,-0.573577,-0.819152
6,-6.85,5,44.36,97.0463,13.639
13,21.09,17,224.52,29.2194,72.3203
12,17.19,8,89.03,95.6267,25.6231
18,41.52,14,179.01,46.3549,25.6949
22,57.46,1,-15.49,14.7447,10.3244
16,33.41,19,254.18,-1.54509,-4.75528
27,77.05,2,-0.99,-25.2374,-36.0427
30,89.37,35,494.27,-10.1029,-8.18116
32,97.54,22,299.56,-29.7558,-81.7532
13,21.12,4,29.51,-24.426,-29.1097
26,73.35,39,554.14,39.1259,8.31646
15,29.24,35,494.26,12.1882,19.5051
29,85.42,24,329.21,-31.467,-77.8834
11,13.25,32,449.5,-91.5871,-16.1493
0,-30.91,33,464.14,3,5.19615
32,97.22,13,164,-51.9322,-83.1087
30,89.26,32,449.55,-59.971,-55.9238
13,21.45,5,44.14,-25.0077,-25.8962
12,17.12,22,299.21,-16.2695,-36.5418
10,9.3,26,359.12,-27.232,-41.9335
10,9.31,9,104,-4.29805,-10.1255
9,4.97,21,284.3,-24.0902,-34.4044
21,53.08,0,-30.56,-34.1102,-18.9076
0,-30.98,12,149.11,88.892,14.0791
28,81.09,37,524.51,32.3325,21.8085
18,41.06,33,464.05,48.1774,53.5064
0,-30.9,35,494.3,-91.5871,-16.1493
13,21.05,28,389.1,27.2514,61.2075
30,88.97,27,374.39,-49.3315,-21.9638
26,73.31,33,464.41,-41.5291,-31.2944
15,29.36,1,-16.02,-45.8994,-26.5
36,113.16,19,254.48,67.2178,25.8025
36,113.23,6,59.13,-9.4415,-27.42
18,41.18,6,59.14,-68.6075,-34.9572
6,-6.81,39,554.08,28.2395,25.4269
3,-18.7,26,359.53,8.99903,10.7246
33,101.27,24,329.09,-2.16313,-6.65739
30,89.46,15,194.06,-75.4814,-32.0399
35,109.13,20,269.3,-9.23457,-25.3717
37,117.08,29,404.33,1.23132,1.57602
36,113.14,33,464.39,10.1976,31.3849
0,-30.45,10,119.53,-11.3752,-12.6335
5,-10.9,25,344.37,-20.137,-32.2258
19,45.06,39,554.48,20.8014,7.16249
18,40.97,15,194.25,-62.6014,-13.3063
7,-2.51,14,179.37,-66.8986,-64.6032
20,49.04,9,104.47,-61.495,-46.3397
5,-11.02,6,59.27,-56.9896,-15.2703
25,69.09,30,419.01,48.1041,26.6645
0,-30.49,24,329.52,49.5157,54.9927
4,-15.02,37,524.55,12.1845,31.7417
29,85.31,3,14.16,-1.10255,-3.84505
11,12.98,0,-30.54,33.9149,54.2751
22,57.26,38,539.01,-36.1331,-40.1298
28,81.43,39,554.42,-19,-32.909
10,9.23,19,254.04,15.0101,7.98101
