A,B,C,D,E,F
24,65.05,9,104.48,18.7558,19.4222
9,5.38,4,29.29,-13.5841,-3.3869
37,117.18,28,389.33,-39.4006,-30.7831
13,21.39,22,299.56,28.7178,4.03602
2,-22.44,19,254.18,32.2258,20.1369
27,77.19,35,494.14,3.88573,3.1466
28,81.51,28,389.02,9.67596,25.2067
36,113.33,27,374.53,26.8983,87.98
30,89.22,32,449.09,-32.9625,-54.8587
27,77.35,13,164.03,-89.8794,-43.8371
5,-10.44,25,344.3,-39.8775,-18.5952
27,77.14,4,29.44,30.559,14.9046
2,-22.73,39,554.38,5.39277,2.63022
19,45.05,29,404.21,-39.3923,-6.94592
38,121.04,16,209.08,-45.1549,-8.77721
34,105.48,27,374.56,18.113,15.7454
21,53.49,33,464.02,-26.4928,-11.7954
29,85.1,1,-15.75,-5.69883,-11.6843
12,17.55,28,388.98,35.2242,22.8748
18,41.37,8,89.51,-60.3488,-33.4518
2,-22.66,25,344.07,7.12805,3.63192
26,73.26,14,179.48,64.6536,58.2143
10,9.45,31,434.2,3.38095,7.25046
22,57.37,8,89.07,-40.9849,-42.441
11,13.09,11,134.28,-27,-46.7654
25,69.06,12,148.99,-20.1865,-5.78838
24,65.42,10,119.47,-26.5292,-17.8942
28,81.55,37,524.28,12.1365,4.65878
1,-26.48,26,359.38,-0.845238,-1.81261
32,97.46,32,449.21,-42.2619,-90.6307
39,125.34,39,554.4,-37.6131,-80.6614
4,-14.75,7,74.04,-77.0548,-28.0456
36,113.15,25,344.31,-49.4816,-32.1337
12,17.11,34,479.27,37.5103,88.3684
10,8.97,33,464.31,41.3465,15.0489
17,37.32,34,479.53,-68.178,-57.2081
39,125.52,33,464.23,-33.2356,-18.4228
2,-22.52,34,479.24,15.733,19.4286
6,-6.66,22,299.29,19.589,64.0724
4,-14.73,31,434.06,26.2905,49.445
14,25.3,15,194.17,-32.5724,-19.5714
5,-10.62,1,-15.72,-10.7438,-31.2021
27,76.98,27,374.3,27.42,9.44147
1,-26.76,1,-15.79,18.9277,1.65596
34,105.52,10,119.02,-29.8454,-20.1309
33,101.27,12,149.45,-68.7139,-13.3566
34,105.24,7,74.04,32.8631,61.8063
35,109.14,8,89.51,-89.9368,-36.3368
38,121.01,24,329.48,6.30409,4.92529
32,97.32,10,119.51,51.3598,8.13459
33,101.42,24,329.35,83.4383,16.2188
24,65.48,34,479.01,-65.2408,-22.4642
11,13.23,34,479.16,-56.8192,-35.5046
29,85.48,1,-15.58,31.1852,15.8897
21,53.36,29,404.28,83.5879,40.7685
26,73.56,39,554.39,-10.4007,-3.58125
1,-26.7,28,389.12,26.6156,25.7023
31,93.45,37,524.02,-42.2619,-90.6307
14,25.46,14,179.25,52.396,13.0638
22,57.12,20,269.08,20.6832,17.3553
32,97.02,24,329,-0.951057,-0.309017
8,1.17,19,254.13,-51.6416,-11.9224
7,-2.44,9,104.01,63.0069,42.4986
35,109.08,30,419.18,44.1177,79.5904
30,89.3,32,448.99,2.77864,2.87736
7,-2.75,8,89.01,32.0144,40.9765
17,37.09,0,-30.75,-24.7214,-76.0845
17,37.44,6,59.03,31.0924,76.9562
27,77.35,6,59.54,73.2475,29.5939
33,101.18,2,-0.66,9.43981,11.6572
0,-30.8,26,359.37,78.8488,36.7678
28,81.53,2,-0.75,83.9535,13.2969
35,109.11,33,464.11,-5.94516,-5.35304
9,5.08,35,494.44,50.5339,45.5009
36,113.1,0,-30.45,22.4105,5.17387
16,33.2,31,434.19,25.4235,49.8963
13,21.21,6,59.04,-86.2842,-42.0836
22,57.28,17,224.12,74.0172,21.2241
32,97.03,12,148.97,-38.4297,-54.8832
19,45.18,6,59.08,10.7499,37.4892
39,125.12,4,29.19,9.96195,0.871557
0,-30.6,16,209.44,55.2424,28.1474
30,89.53,4,29.37,8.02957,8.91773
21,53.53,0,-30.89,56.5654,67.4119
6,-6.64,7,74.09,-10.2309,-13.5768
13,21.11,14,179.55,-2.62386,-1.45443
10,9.06,39,554.56,15.6574,23.213
31,93.48,18,239.04,5.99104,9.22537
1,-26.51,10,119.5,-8.94822,-20.098
18,41.02,30,419.34,28.3437,23.7831
36,113.08,20,269.27,-91.7912,-37.086
6,-6.6,38,539.02,0.876744,1.79759
38,121.31,30,419.25,-12.7135,-14.1197
10,9.31,17,224.5,46.1365,8.96802
4,-14.97,21,284.03,-31.8198,-31.8198
12,17.28,13,164.29,68.1514,26.1608
21,53.16,10,119.08,-2.728,-2.92541
10,9.32,38,539.17,34.3413,25.878
13,21.43,26,359.48,58.2736,9.22963
39,125.12,12,148.97,19.2484,36.2008
2,-22.7,31,434.33,34.9842,12.046
22,57.15,24,329.41,-9.06308,-4.22618
9,5.09,7,74.24,-58.2144,-64.6536
31,93.35,9,104.15,-18.3526,-4.91756
24,65.37,27,374.25,-25.7288,-84.1548
7,-2.88,34,479.15,-28.8411,-3.03132
3,-18.98,2,-0.64,-25.916,-27.7914
19,45.28,24,329.16,8.29038,5.59192
2,-22.81,0,-31,-99.4522,-10.4528
35,109.53,2,-0.61,-22.6924,-7.81363
30,89.2,29,404.33,-78.2663,-58.9778
28,81.54,10,119.07,-3.95075,-0.625737
34,105.44,15,194.47,-18.4691,-50.7434
0,-30.75,27,374.17,-9.99236,-13.7533
33,101.35,27,374.32,0,0
2,-22.6,27,374.4,-40.7754,-4.28566
